Topic,Count,Name,Representation,Representative_Docs
-1,5229,-1_magyar_péter_tisza_orbán,"['magyar', 'péter', 'tisza', 'orbán', 'ukrán', 'magyar péter', 'viktor', 'orbán viktor', 'párt', 'videó']","['„slava ukraini!” – magyar péter szövetségese orbán viktort próbálta bemószerolni, végül a tisza pártot hozta kimagyarázhatatlan helyzetbe (videó) kemény hangvételű videóüzenetet tett közzé tseber roland, magyar péter ukrán kém barátja, amelyben élesen bírálta orbán viktor magyar miniszterelnök politikáját, valamint a magyar kormány ukrajnával kapcsolatos álláspontját.\n\ntseber üzenetét a magyar néphez és annak vezetőjéhez intézte, azt állítva,', 'orbán balázs: vasárnap arról döntünk, hogy zelenszkij vagy orbán viktor alakítson-e kormányt orbán viktor pénteken székesfehérváron folytatta kampánykörútját, melyről orbán balázs is közölt képeket közösségi oldalán .\n\nmost vasárnap arról kell döntenünk, hogy zelenszkij vagy orbán viktor alakítson kormányt”\n\n– hívta fel a figyelmet a politikai igazgató.\n\naz ukránbarát tisza-kormány beleráng', 'orbán viktor kemény üzenetet küldött a szijjártó pétert érintő tiszás ügynökbotránnyal kapcsolatban – videó elfogadhatatlannak és szégyenteljesnek nevezte orbán viktor a szijjártó péter külügyminiszter ellen irányuló támadást . kiemelte: a lehallgatási botrány a kormány ellen, a tisza párt érdekében és azon keresztül történt. a kormányfő határozottan kijelentette, hogy magyarország nem fogja annyiban hagy']"
0,4340,0_orbán_viktor_orbán viktor_ukrán,"['orbán', 'viktor', 'orbán viktor', 'ukrán', 'magyar', 'orosz', 'péter', 'zelenszkij', 'ukrajna', 'miniszterelnök']","['a műholdképek nem hazudnak: orbán viktor bemutatta a bizonyítékokat a barátság kőolajvezeték állapotáról és az orosz olajszállításról tartott nemzetbiztonsági egyeztetésen vett részt hétfő reggel orbán viktor miniszterelnök.\n\na rendelkezésünkre álló műholdfelvételek és operatív információk alapján egyértelmű, hogy a barátság kőolajvezeték működőképes\n\n– jelentette k', 'itt van orbán viktor válasza zelenszkij halálos fenyegetésére orbán viktor szerint zelenszkij nem őt, hanem magyarországot fenyegeti. a miniszterelnök azt írta, hogy ez nem téríti el attól, hogy megvédje a magyar családokat.\n\norbán viktor a videóban élesen reagált az ukrán államfő üzenetére. az előzmény az, hogy volodimir zelenszkij ukrán államfő példátlan mód', 'most érkezett: elkezdett kapálózni zelenszkij, azonnal meghívta egy találkozóra orbánt andrij szibiha, ukrajna külügyminisztere szerint budapest figyelmen kívül hagyta, hogy volodimir zelenszkij ukrán elnök és orbán viktor magyar miniszterelnök közvetlen találkozójára tett javaslatot a barátság kőolajvezeték ügyében – írja a korrespondent .\n\nszibiha bírálta orbán viktort az eu 90 mill']"
1,242,1_irán_iráni_izrael_izraeli,"['irán', 'iráni', 'izrael', 'izraeli', 'amerikai', 'egyesült', 'államok', 'keleten', 'egyesült államok', 'rekedt']","['irán több ország ellen indított támadást, dubajban óvóhelyre menekültek az emberek – videó izrael és az egyesült államok egy átfogó katonai hadművelet során megelőző csapássorozatot hajtott végre irán ellen. teherán ezt követően izrael és a környező országok – amerikai katonai bázisai – ellen indított rakéta, illetve dróntámadásokkal válaszolt. az iráni nemzetbiztonsági tanács a főváros e', 'háború a közel-keleten: az iráni rezsim összeomlása a cél, erre lehet számítani! ahogy arról a mandiner is beszámolt : izrael megelőző csapást mért iránra, amit az izraeli védelmi miniszter, jiszráel kac jelentett be szombat reggel. az izraeli hadvezetés szerint a művelet célja az iráni katonai és nukleáris kapacitások gyengítése.\n\na támadásba az egyesült államok hadereje is bek', 'háború a közel-keleten: így indított egyesült államok és izrael összehangolt katonai műveletet irán ellen izrael megelőző csapást mért iránra, amit az izraeli védelmi miniszter, jiszráel kac jelentett be szombat reggel. az izraeli hadvezetés szerint a művelet célja az iráni katonai és nukleáris kapacitások gyengítése volt.\n\naz izraeli védelmi erők országos riasztást rendelt el,\n\na lakosság mobiltelefono']"
2,214,2_kutatás_segíthet_betegség_szív,"['kutatás', 'segíthet', 'betegség', 'szív', 'vizsgálat', 'írja', 'focus', 'egészséges', 'kutatók', 'egyszerű']","['10 szuperélelmiszer, ami megfiatalítja a testet és az elmét az egészséges öregedéshez nemcsak a mozgás, hanem a táplálkozás is kulcsfontosságú. a megfelelő ételek rendszeres fogyasztása segíthet megelőzni az időskori betegségeket, erősíti a testet és az elmét, miközben hosszú távon támogatja a jó közérzetet. a szakértők elárulták, melyek a legjobb szuperélel', 'hétköznapi szokás segíthet a rettegett betegség megelőzésében a vizsgálat szerint a demencia kockázata akár több mint negyedével is alacsonyabb lehet, ha valaki legalább heti egy alkalommal főz. a kutatás több mint 10 ezer, 65 év feletti embert követett hat éven keresztül, és egyértelmű összefüggést talált a főzés gyakorisága és a betegség kialakulása között –', 'ezekkel az egyszerű szokásokkal elkerülheti a szívrohamot egy friss kutatás szerint nem szükséges drasztikus életmódváltás ahhoz, hogy jelentősen csökkentsük a szívroham kockázatát. a tudósok arra jutottak, hogy már néhány apró, mindennapi szokás megváltoztatása is komoly hatással lehet a szív- és érrendszer egészségére – írja a dailymail .\n\na vizsgálat er']"
3,197,3_színésznő_oscar_sydney_írja,"['színésznő', 'oscar', 'sydney', 'írja', 'sztár', 'énekesnő', 'szexi', 'merész', 'rajongók', 'blikk']","['brutális dekoltázzsal reklámozza saját fehérnemű márkáját sydney sweeney a 28 éves sztár a kaliforniai stagecoach fesztiválon tűnt fel, ahol saját márkája, a syrn hivatalos fehérnemű partnerként vett részt az eseményen. sydney sweeney nemcsak reklámozta a kollekciót — a darabokat maga viselte, és pózolt bennük a rajongók előtt – írja a dailystar .\n\na színésznő korábban ő', 'sydney sweeney mindent letarolt a botránya után sydney sweeney karrierje látványos fordulatot vett, és ezzel együtt a vagyona is meredeken emelkedhetett. a színésznő az elmúlt években nemcsak filmes és sorozatos sikerekkel, hanem komoly üzleti együttműködésekkel is felhívta magára a figyelmet – írja a dailymail .\n\nsajtóértesülések szerint a sztár', 'sokkoló változás sydney sweeney-nél: alig ismernek rá a rajongók a szexi színésznőre sydney sweeney-re most tényleg alig lehet ráismerni: mintha teljesen megváltozott volna a szexi színésznő, és egy időre maga mögött hagyta volna a korábban megszokott, fülledt, erotikától hemzsegő megjelenését. az érzéki szexizések, a dögös fotók , a merész dekoltázsok, a kivillanó idomok, cicik, lá']"
4,157,4_időjárás_várható_fok_napos,"['időjárás', 'várható', 'fok', 'napos', 'hőmérséklet', 'csapadék', 'idő', 'köpönyeg', 'szél', 'számíthatunk']","['készüljön fel a hétvégére: nem az jön, amire számít az időjárás előrejelzés alapján pénteken és szombaton is többnyire derült, tavaszias idő lesz. csapadék nem várható, a hőmérséklet napközben emelkedik, hajnalban viszont többfelé fagypont közelébe csökken.\n\njellemzően derült, napos, enyhe, tavaszias idő várható a hétvégén, 15 celsius-fok körüli csúc', 'ma még esővel és széllel csap le az időjárás, de már nem tart sokáig kedden, 2026. március 31-én erősen felhős, sokfelé borult idő várható, és több helyen eső is kialakulhat, miközben az északi, északnyugati szél élénk, helyenként erős lehet. az időjárás a főváros térségében is csapadékos marad, a csúcshőmérséklet 9 fok körül alakulhat, reggel pedig nagyjából 4 fokot', 'végre érkezik a tavasz? mutatjuk a várható időjárást! az előttünk álló napokban kedvezően alakul az időjárás, csütörtökön kifejezetten napos, száraz időre számíthatunk. a hét második felében és a hétvégén is többórás napsütés valószínű, miközben a hőmérséklet fokozatosan emelkedik – tájékoztat a köpönyeg .\n\ncsütörtökön országszerte napos idő várható, l']"
5,156,5_lehetőségeket_fejlődési_változatos_tartalmat,"['lehetőségeket', 'fejlődési', 'változatos', 'tartalmat', 'záloga', 'minőségi', 'keressük', 'olvasó', 'témák', 'egyedülálló']","['nan kiemelt témák\n\nrovatok\n\nportfóliónk minőségi tartalmat jelent minden olvasó számára. egyedülálló elérést, országos lefedettséget és változatos megjelenési lehetőséget biztosít. folyamatosan keressük az új irányokat és fejlődési lehetőségeket. ez jövőnk záloga.', 'nan kiemelt témák\n\nrovatok\n\nportfóliónk minőségi tartalmat jelent minden olvasó számára. egyedülálló elérést, országos lefedettséget és változatos megjelenési lehetőséget biztosít. folyamatosan keressük az új irányokat és fejlődési lehetőségeket. ez jövőnk záloga.', 'nan kiemelt témák\n\nrovatok\n\nportfóliónk minőségi tartalmat jelent minden olvasó számára. egyedülálló elérést, országos lefedettséget és változatos megjelenési lehetőséget biztosít. folyamatosan keressük az új irányokat és fejlődési lehetőségeket. ez jövőnk záloga.']"
6,133,6_forint_milliárd_kft_szijjártó péter,"['forint', 'milliárd', 'kft', 'szijjártó péter', 'szijjártó', 'milliárd forint', 'értékben', 'hazai', 'külgazdasági', 'forint értékben']","['nagy dobás: újabb 150 munkahelyről tett bejelentést szijjártó péter a külgazdasági és külügyminisztérium közleménye szerint a tárcavezető a hazai tulajdonú metal kingdom kft. beruházásának bejelentésén arról számolt be, hogy a fémszerkezeteket gyártó vállalat 7,5 milliárd forint értékben három újabb üzemcsarnokot épít a kormány hárommilliárd forintos támogatásával,', 'újabb, ezúttal 2,5 milliárd forintos beruházást jelentett be szijjártó péter a tárcavezető a controlsoft automatika kft. beruházásának bejelentésén arról számolt be, hogy az ipari automatizálással foglalkozó, hazai tulajdonú cég egy új regionális szolgáltatóközpontot épít mintegy 2,5 milliárd forint értékben, amihez a kormány 940 millió forint támogatást nyújt, így segítve 2', 'szijjártó péter: a hazai tulajdonban lévő vállalkozások jelentik a nemzetgazdaság lelkét – videó a külgazdasági és külügyminisztérium közleménye szerint szijjártó péter a dga gépgyártó és automatizálási kft. friss beruházásának bejelentésén kiemelte, hogy a hazai tulajdonú vállalat kapacitásbővítést hajt végre 4,4 milliárd forint értékben, amihez a kormányzat 1,1 milliárd forint támogatást nyúj']"
7,120,7_migrációs_spanyol_migráció_illegális,"['migrációs', 'spanyol', 'migráció', 'illegális', 'migráns', 'németországban', 'európai', 'európa', 'iráni', 'német']","['kutatóintézet: új, több milliós migrációs hullámot indíthat európa felé az iráni háború ismét fel kell készülnie európának egy súlyos migrációs válságra és egy újabb menekülthullámra a következő időszakban az iráni háború miatt . a mathias corvinus collegium migrációkutató intézetének elemzése szerint, még ha a fegyveres konfliktus el is csitul, a gazdasági és biztonsági helyzet romlás', 'soha nem látott terrorhullám fenyegeti európát? nyugat-európa az elmúlt több mint tíz évben a saját bőrén tapasztalhatta meg, hova vezet a brüsszeli migrációs politika. a 2015-ös migrációs válság óta a terroristák rendszeresen használták ki a határok ellenőrizetlenségét, hogy beszivárogjanak a kontinensre, vagy éppen az itt már letelepedett, inte', 'irán destabilizációja súlyos migrációs nyomást jelenthet európának elhúzódó migrációs válságot hozhat az iráni háború. még ha a fegyveres konfliktus el is csitul, a gazdasági és biztonsági helyzet romlása miatt több millió iráni és az iránban tartózkodó afgán indulhat útnak. emellett radikális csoportok európában is akcióba lendülhetnek. komoly veszélyben lehetnek']"
8,119,8_trump_donald trump_donald_irán,"['trump', 'donald trump', 'donald', 'irán', 'amerikai elnök', 'amerikai', 'elnök', 'egyesült', 'iráni', 'államok']","['üzent trump: olyan lépést fontolgat iránnal kapcsolatban, amely gyökeresen megváltoztathatja a konfliktus menetét az egyesült államok közel került iránt érintő céljai eléréséhez – közölte donald trump amerikai elnök pénteken.\n\naz amerikai elnök internetes közösségi oldalán megjelent bejegyzésében azt is közölte, hogy fontolgatja a katonai művelet intenzitásának csökkentését.\n\ndonald trump szerint a katonai nyom', '„megsemmisítjük a rakétáikat és a rakétagyártó iparukat!” - trump megerősítette, hogy az egyesült államok részt vett az irán elleni támadásban + videó trump a truth socialon közzétett videóban azt mondta, hogy az egyesült államok nagyobb harci műveleteket indított iránban. donald trump (fotó: afp/mandel ngan)', 'donald trump szerint egy észszerűbb iráni vezetéssel folynak tárgyalások donald trump szerint az egyesült államok egy „új és észszerűbb” iráni rezsimmel folytat komoly tárgyalásokat a katonai műveletek lezárásáról - az amerikai elnök erről hétfőn írt internetes bejegyzésében. donald trump szerint egy észszerűbb iráni vezetéssel folynak tárgyalások fotó: afp']"
